month,행정동코드,성별,연령대,총인구,1인가구수,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수
01,1120000000,1,60,15346,2418,53.019999999999996,82.6,2139.59,16723.75,68.82,171035.86,167.72,558.52,-3.22,2497.74,379.83,446.62,141.41,44.42,547.52,256.48,25504080.130000003,6612787.94,14947.04,11701.259999999998,299.03,1371.47,1598.63,2925.25,599.53,-5.45,-20.33,315.81,73.36,55.11
01,1121500000,0,20,32209,10971,67.25999999999999,113.88,1854.7,15659.23,73.02000000000001,208686.99,298.37,333.7,4.29,2206.42,299.17,280.24,126.21000000000001,391.87,591.8,254.53,19344637.71,5384988.15,18620.35,9883.0,324.44,2352.88,3593.3199999999997,4260.91,1290.38,8.09,-5.74,571.2,88.25999999999999,43.42
01,1121500000,0,30,32488,9962,53.42,81.64,1837.07,16380.02,74.57,190549.19,284.51,1199.04,5.75,2204.17,349.78999999999996,478.29,176.74,343.57,710.1600000000001,283.38,17414604.08,5011192.05,23915.81,12319.849999999999,375.8,2224.59,4647.91,5810.51,1448.42,4.63,-5.92,633.4100000000001,86.97999999999999,50.099999999999994
01,1121500000,0,40,29705,4737,47.46,73.53,1951.94,16189.84,69.33000000000001,175329.08000000002,253.45,1497.02,2.31,2167.87,392.6,552.86,180.76,226.51,732.47,277.63,17536896.08,5098481.83,27480.89,12610.45,370.35,2097.1099999999997,4221.27,5762.74,1294.9699999999998,0.9099999999999999,-9.3,517.69,89.08000000000001,50.099999999999994
01,1121500000,0,50,28422,3824,47.53,72.9,2005.3899999999999,16066.189999999999,70.78999999999999,167590.05,283.95,1327.6399999999999,0.5,1968.08,411.25,573.51,169.74,121.99,720.6700000000001,286.15,17530460.41,5019427.12,27549.83,13880.25,360.5,1701.2199999999998,2917.1899999999996,4006.46,964.75,-1.32,-14.620000000000001,373.9,90.37,43.42
01,1121500000,0,60,16615,2599,45.980000000000004,71.89,1996.4299999999998,15320.81,61.519999999999996,156595.94,213.10000000000002,827.23,-0.98,1611.54,386.39,528.38,146.5,66.71,629.8,276.44,19327742.79,5385670.22,24003.89,13515.28,321.26,1351.1,1628.47,2355.05,692.5,-3.22,-18.17,280.53,72.46000000000001,35.07
01,1121500000,1,20,33988,12892,61.14,94.85,1765.37,15874.7,75.81,209145.45,281.61,200.2,2.78,2160.21,335.03,230.86,133.72,271.14,634.94,265.51,18433863.61,5168522.38,17983.95,10705.18,351.26,1313.35,3627.32,5008.47,1112.17,4.550000000000001,-3.63,580.1400000000001,75.25999999999999,50.099999999999994
01,1121500000,1,30,31561,8999,50.68,79.72,1605.25,15870.58,75.91,187695.99,260.33,567.14,3.0500000000000003,1867.4699999999998,287.94,319.98,163.74,234.41,630.23,260.37,18871335.47,5299006.83,16806.11,11170.34,343.68,1442.76,4312.030000000001,6801.16,1276.28,1.6400000000000001,-5.24,594.1600000000001,80.19,50.099999999999994
01,1121500000,1,40,30589,4558,44.28,74.58,1634.73,15229.39,73.99000000000001,195342.44,228.64,781.37,-0.36,2208.94,390.21000000000004,391.36,177.57999999999998,139.83,585.72,234.25,20490514.799999997,5871275.859999999,14782.34,9741.900000000001,305.06,1508.5500000000002,3745.13,6484.82,1087.32,-1.78,-9.54,486.58,84.65,50.099999999999994
01,1121500000,1,50,30176,4108,43.59,73.26,1599.77,15168.25,77.24,187024.2,209.41000000000003,772.3100000000001,-1.92,2263.45,434.36,415.64,157.71,65.34,578.49,243.32999999999998,20754322.689999998,5856161.109999999,14829.71,10738.529999999999,293.98,1320.27,2612.49,4514.57,727.45,-3.9000000000000004,-14.45,347.53,79.96000000000001,50.099999999999994
